week,total_records,risk_records,avg_sentiment,risk_sentiment_score,avg_risk_keyword_count,risk_sentiment_score_4wk_avg,avg_sentiment_4wk_avg
2023-02-20,6,6,-0.45131666666666664,0.60674375,1.0,0.60674375,-0.45131666666666664
2023-03-27,6,6,0.3500666666666667,0.32705833333333334,1.3333333333333333,0.4669010416666667,-0.050624999999999976
2023-05-01,7,7,0.36228571428571427,0.31057142857142855,1.1428571428571428,0.4147911706349206,0.08701190476190478
2023-05-29,6,2,-0.5403,0.6296958333333333,0.8333333333333334,0.4685173363095238,-0.06981607142857142
2023-06-05,6,1,0.2529166666666667,0.2905729166666667,0.16666666666666666,0.3894746279761905,0.10624226190476191
2023-08-28,6,0,0.5926833333333333,0.15274374999999993,0.0,0.3458959821428571,0.16689642857142856
2023-10-16,6,0,0.28048333333333336,0.26981875,0.0,0.3357078125,0.14644583333333336
2023-10-23,6,0,-0.22146666666666667,0.45805,0.0,0.29279635416666666,0.22615416666666666
2023-11-20,12,9,0.25275000000000003,0.34271874999999996,1.0,0.3058328125,0.22611250000000002
2023-12-25,6,0,0.29311666666666664,0.26508125,0.0,0.3339171875,0.15122083333333336
2024-01-22,6,6,0.09901666666666668,0.4107854166666667,1.1666666666666667,0.36915885416666666,0.10585416666666668
2024-02-19,6,2,-0.7056999999999999,0.6708875,0.5,0.4223682291666666,-0.01520416666666663
2024-03-04,6,6,0.2692666666666667,0.33652499999999996,1.0,0.4208197916666666,-0.01107499999999996
2024-03-11,6,6,-0.35569999999999996,0.5813041666666666,1.1666666666666667,0.4998755208333333,-0.1732791666666666
2024-03-25,24,4,0.08315833333333333,0.35423229166666664,0.16666666666666666,0.4857372395833333,-0.17724374999999992
2024-04-08,6,0,0.3551166666666667,0.24183124999999994,0.0,0.37847317708333333,0.08796041666666671
2024-04-15,6,6,0.6669333333333333,0.20823333333333335,1.3333333333333333,0.3464002604166666,0.18737708333333336
2024-05-13,18,13,0.05003888888888888,0.40137430555555553,0.7222222222222222,0.3014177951388889,0.2888118055555555
2024-05-27,6,6,-0.3401833333333333,0.56506875,1.0,0.35412690972222216,0.1829763888888889
2024-07-01,6,6,-0.11911666666666666,0.4925854166666666,1.1666666666666667,0.41681545138888887,0.06441805555555555
2024-07-08,15,15,-0.10741333333333335,0.4944466666666667,1.2666666666666666,0.4883687847222222,-0.1291686111111111
2024-08-19,6,6,-0.7738833333333334,0.7277062500000001,1.0,0.5699517708333333,-0.33514916666666666
2024-09-09,3,0,-0.2724,0.47714999999999996,0.0,0.5479720833333332,-0.31820333333333334
2024-09-23,6,6,0.8287666666666667,0.12671249999999998,1.0,0.45650385416666667,-0.08123249999999999
2024-09-30,6,6,-0.018150000000000017,0.50680625,2.0,0.45959375,-0.05891666666666668
2024-10-07,6,6,0.8375166666666667,0.12343124999999992,1.0,0.308525,0.3439333333333333
2024-10-21,12,12,0.4267,0.2774875,1.0,0.258609375,0.5187083333333333
2024-10-28,6,6,-0.04930000000000001,0.4559875,1.0,0.34092812499999997,0.2991916666666667
2024-11-25,5,5,-0.30172,0.550645,1.0,0.3518878125,0.22829916666666672
2024-12-02,7,1,0.04091428571428573,0.36858571428571424,0.14285714285714285,0.41317642857142856,0.02914857142857144
2024-12-09,6,1,-0.06041666666666667,0.4080729166666666,0.16666666666666666,0.44582278273809517,-0.09263059523809523
2024-12-16,6,0,0.2758833333333333,0.27154375,0.0,0.3997118452380952,-0.011334761904761903
2025-01-06,6,6,0.5424,0.23409999999999995,1.0,0.32057559523809515,0.1996952380952381
2025-01-13,12,12,-0.35184166666666666,0.569440625,1.0,0.3707893229166666,0.10150625
2025-01-20,6,6,-0.3267,0.5600125,1.0,0.40877421875,0.03493541666666666
2025-01-27,12,12,0.6779333333333334,0.18327499999999997,1.0,0.38670703124999994,0.13544791666666667
2025-02-10,9,9,-0.5136222222222222,0.6301083333333334,1.0,0.4857091145833333,-0.12855763888888885
2025-02-17,3,3,-0.9159666666666667,0.8018208333333333,1.3333333333333333,0.5438041666666666,-0.2695888888888889
2025-03-03,6,0,-0.2649666666666667,0.4743625,0.0,0.5223916666666667,-0.2541555555555555
2025-03-10,7,6,0.18512857142857145,0.42164821428571425,1.8571428571428572,0.5819849702380953,-0.377356746031746
2025-03-24,6,6,-0.6773833333333333,0.6915187500000001,1.0,0.597337574404762,-0.4182970238095238
2025-04-07,2,1,-0.09000000000000002,0.43999999999999995,0.5,0.5068823660714286,-0.21180535714285714
2025-05-05,6,6,0.012333333333333344,0.44329166666666664,1.1666666666666667,0.4991146577380952,-0.14248035714285712
2025-05-12,6,6,0.4542,0.28800833333333337,1.3333333333333333,0.4657046875,-0.07521249999999997
2025-06-02,12,6,0.17489999999999997,0.3458708333333333,0.5833333333333334,0.3792927083333333,0.13785833333333336
2025-06-16,12,6,0.21333333333333335,0.32625,0.5,0.35085520833333333,0.21369166666666672
2025-06-23,18,12,-0.022566666666666662,0.4251291666666666,0.6666666666666666,0.3463145833333333,0.20496666666666669
2025-07-07,8,0,0.5994125,0.15022031249999998,0.0,0.31186757812499993,0.24126979166666668
2025-07-14,12,8,0.14574999999999996,0.36721875,0.75,0.31720455729166663,0.2339822916666667
2025-07-21,6,6,0.4549833333333333,0.27729791666666664,1.1666666666666667,0.3049665364583333,0.2943947916666667
2025-07-28,6,6,-0.0327,0.5122625,2.0,0.32674986979166665,0.2918614583333333
2025-08-04,13,0,-0.1696230769230769,0.43860865384615383,0.0,0.3988469551282051,0.0996025641025641
2025-08-11,12,6,0.570825,0.19739895833333332,0.5833333333333334,0.3563920072115384,0.20587131410256412
2025-08-18,6,6,0.35319999999999996,0.3154666666666667,1.1666666666666667,0.36593419471153843,0.1804254807692308
2025-09-01,6,6,-0.04418333333333333,0.45406875,1.0,0.3513857572115384,0.17755464743589744
2025-09-08,16,4,0.01035624999999999,0.39064765625,0.3125,0.3393955078125,0.22254947916666667
2025-09-15,11,4,0.005127272727272738,0.4014863636363636,0.45454545454545453,0.39041735913825754,0.08112504734848487
2025-09-22,6,6,0.24553333333333335,0.36625833333333335,1.3333333333333333,0.4031152758049242,0.05420838068181821
2025-09-29,15,15,-0.22966666666666669,0.536125,1.2,0.42362933830492416,0.00783754734848488
2025-10-06,18,8,0.12845555555555555,0.3615513888888889,0.5555555555555556,0.4163552714646464,0.037362373737373764
2025-10-13,17,11,0.2791411764705882,0.31811617647058826,0.7647058823529411,0.39551272467320253,0.10586584967320264
2025-10-20,12,12,-0.109425,0.48374270833333327,1.0833333333333333,0.42488381842320255,0.017126266339869307
2025-10-27,1,1,-0.8387,0.8145125,2.0,0.49448069342320256,-0.13513206699346403
2025-11-10,10,10,0.026750000000000006,0.44621875,1.3,0.5156475337009804,-0.1605584558823529
2025-11-17,27,17,-0.01655185185185185,0.42750324074074075,0.7407407407407407,0.5429942997685184,-0.23448171296296294
2025-11-24,3,2,0.01626666666666669,0.4105666666666667,0.6666666666666666,0.5247002893518518,-0.20305879629629625
2025-12-01,11,11,0.14928181818181818,0.42697386363636364,1.7272727272727273,0.4278156302609427,0.04393665824915829
2025-12-08,11,11,-0.1684272727272727,0.5347511363636364,1.5454545454545454,0.44994872685185183,-0.004857659932659887
2025-12-15,18,0,0.0493388888888889,0.35649791666666664,0.0,0.4321973958333333,0.011615025252525297
2025-12-22,1,1,0.9701,0.0737125,1.0,0.3479838541666666,0.2500733585858586
2025-12-29,13,9,-0.07855384615384614,0.4813807692307692,1.2307692307692308,0.361585580565268,0.19311444250194254
2026-01-05,3,2,-0.16043333333333334,0.49766249999999995,1.0,0.3523134214743589,0.19511292735042735
2026-01-12,7,1,0.3365142857142857,0.2577357142857143,0.14285714285714285,0.3276228708791208,0.2669067765567766
2026-01-19,2,0,0.6349,0.1369124999999999,0.0,0.34342287087912077,0.1831067765567766
2026-01-26,6,6,0.28265,0.3523395833333333,1.3333333333333333,0.3111625744047618,0.27340773809523816
2026-02-02,6,0,0.39113333333333333,0.22832499999999997,0.0,0.24382819940476183,0.4112994047619048
2026-02-09,27,15,0.04362962962962963,0.4003055555555555,0.6666666666666666,0.2794706597222221,0.3380782407407408
2026-02-16,1,0,-0.8316,0.68685,0.0,0.4169550347222222,-0.02854675925925923
2026-03-02,12,8,0.5975583333333333,0.20820729166666666,0.9166666666666666,0.3809219618055555,0.05018032407407409
2026-03-09,12,4,-0.33383333333333337,0.5262291666666666,0.4166666666666667,0.45539800347222215,-0.13106134259259258
2026-03-16,6,6,0.38788333333333336,0.32329375,1.5,0.4361450520833332,-0.04499791666666664
2026-03-23,30,15,0.3052533333333333,0.3021966666666666,0.6666666666666666,0.33998171874999994,0.23921541666666668
2026-03-30,25,15,0.012220000000000009,0.4129175,0.68,0.39115927083333324,0.09288083333333334
2026-04-06,16,8,0.1553625,0.3518953125,0.5625,0.3475758072916666,0.21517979166666668
2026-04-13,30,15,0.16149,0.3623579166666666,0.7666666666666667,0.35734184895833326,0.15858145833333334
2026-04-20,16,5,0.26790625,0.29406640624999997,0.3125,0.3553092838541666,0.14924468750000003
2026-04-27,12,6,0.17114166666666666,0.35769687499999997,0.75,0.3415041276041666,0.18897510416666669
2026-05-04,18,9,0.01481666666666666,0.40763819444444443,0.6111111111111112,0.3554398480902777,0.15383864583333334
2026-05-11,30,8,-0.10686,0.4338225,0.3,0.373305993923611,0.08675114583333335
2026-05-18,30,24,0.25494666666666665,0.335645,0.9,0.383700642361111,0.08351125000000001
2026-05-25,25,5,0.11705600000000001,0.34610399999999997,0.24,0.38080242361111105,0.06998983333333335
2026-06-01,29,14,0.03526206896551725,0.40056982758620685,0.6206896551724138,0.3790353318965517,0.075101183908046
2026-06-08,30,5,0.059943333333333335,0.36502124999999996,0.2,0.36183501939655166,0.11680201724137933
2026-06-15,16,8,-0.32341875000000003,0.52753203125,0.5,0.4098067772090516,-0.027789336925287345
2026-06-22,22,5,0.1526590909090909,0.3319573863636363,0.22727272727272727,0.40627012379996075,-0.018888564198014615
2026-06-29,110,17,0.05904727272727273,0.3664936363636363,0.21818181818181817,0.3977510759943181,-0.012942263257575746
2026-07-06,7,6,0.30278571428571427,0.32395535714285717,1.0,0.3874846027800324,0.04776833198051948
